2026-04-16 11:26:36 | INFO | smart_aroma.main | SmartAroma backend started
2026-04-16 11:26:44 | INFO | smart_aroma.main | SmartAroma backend shutdown
2026-04-16 11:28:22 | INFO | smart_aroma.main | SmartAroma backend started
2026-04-16 11:30:03 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-16 11:30:13 | INFO | smart_aroma.engine.aroma_controller | User action: start preference=助眠
2026-04-16 11:30:13 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-16 11:30:13 | INFO | smart_aroma.api.routes | REST POST /api/start preference=助眠 ok=True
2026-04-16 11:30:13 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:13 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for 助眠
2026-04-16 11:30:13 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-16 11:30:13 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(40)
2026-04-16 11:30:34 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-16 11:30:34 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-16 11:30:34 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-16 11:30:35 | INFO | smart_aroma.engine.aroma_controller | State phase: paused -> running
2026-04-16 11:30:35 | INFO | smart_aroma.engine.aroma_controller | User action: resume
2026-04-16 11:30:35 | INFO | smart_aroma.api.routes | REST POST /api/resume ok=True
2026-04-16 11:30:38 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-16 11:30:38 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:38 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-16 11:30:38 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:38 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-16 11:30:38 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-16 11:30:38 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:41 | INFO | smart_aroma.engine.aroma_controller | User action: start preference=冥想
2026-04-16 11:30:41 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-16 11:30:41 | INFO | smart_aroma.api.routes | REST POST /api/start preference=冥想 ok=True
2026-04-16 11:30:41 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:41 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for 冥想
2026-04-16 11:30:41 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-16 11:30:41 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(25)
2026-04-16 11:30:52 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-16 11:30:52 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:52 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-16 11:30:52 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:52 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-16 11:30:52 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-16 11:30:52 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:54 | INFO | smart_aroma.engine.aroma_controller | User action: start preference=提神
2026-04-16 11:30:54 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-16 11:30:54 | INFO | smart_aroma.api.routes | REST POST /api/start preference=提神 ok=True
2026-04-16 11:30:54 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:30:54 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for 提神
2026-04-16 11:30:54 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-16 11:30:54 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(60)
2026-04-16 11:31:18 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-16 11:31:18 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:18 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-16 11:31:18 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:18 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-16 11:31:18 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-16 11:31:18 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:20 | INFO | smart_aroma.engine.aroma_controller | User action: start preference=放松
2026-04-16 11:31:20 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-16 11:31:20 | INFO | smart_aroma.api.routes | REST POST /api/start preference=放松 ok=True
2026-04-16 11:31:20 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:20 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for 放松
2026-04-16 11:31:20 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-16 11:31:20 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(35)
2026-04-16 11:31:49 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-16 11:31:49 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:49 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-16 11:31:49 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:49 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-16 11:31:49 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-16 11:31:49 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-16 11:31:50 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-16 11:32:08 | INFO | smart_aroma.main | SmartAroma backend shutdown
2026-04-25 17:30:27 | INFO | smart_aroma.main | SmartAroma backend started
2026-04-25 17:31:33 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 17:47:06 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 21:23:54 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 21:44:36 | INFO | smart_aroma.engine.aroma_controller | User action: start preference=助眠
2026-04-25 21:44:36 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 21:44:36 | INFO | smart_aroma.api.routes | REST POST /api/start preference=助眠 ok=True
2026-04-25 21:44:36 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
